file,round,tick,seconds,att_team,vic_team,att_side,vic_side,wp,wp_type,ct_alive,t_alive,is_bomb_planted
esea_match_13770997.dem,21,233843,40.49817,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,4,3,FALSE
esea_match_13770997.dem,21,233869,40.70178,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,3,3,FALSE
esea_match_13770997.dem,21,234023,41.90759,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A1,Rifle,3,2,FALSE
esea_match_13770997.dem,21,234023,41.90759,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,2,2,FALSE
esea_match_13770997.dem,21,234203,43.31714,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,1,2,FALSE
esea_match_13770997.dem,21,234823,48.17188,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,1,1,FALSE
esea_match_13770997.dem,21,235555,53.90369,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,1,0,FALSE
esea_match_13770997.dem,22,241407,40.70178,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,4,5,FALSE
esea_match_13770997.dem,22,244947,68.35828,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,3,5,FALSE
esea_match_13770997.dem,22,247802,90.70593,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,2,5,FALSE
esea_match_13770997.dem,22,249672,105.3485,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A1,Rifle,2,4,FALSE
esea_match_13770997.dem,23,261496,42.7533,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,CZ,Pistol,5,4,FALSE
esea_match_13770997.dem,23,266912,85.08386,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,FiveSeven,Pistol,5,3,FALSE
esea_match_13770997.dem,23,267036,86.05481,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,FiveSeven,Pistol,5,2,FALSE
esea_match_13770997.dem,23,267060,86.2428,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,4,2,FALSE
esea_match_13770997.dem,23,267694,91.20715,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AK47,Rifle,4,1,FALSE
esea_match_13770997.dem,23,268202,95.18494,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,Famas,Rifle,4,0,FALSE
esea_match_13770997.dem,24,272930,31.86938,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,24,273100,33.20044,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,CZ,Pistol,4,4,FALSE
esea_match_13770997.dem,24,273504,36.36401,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AK47,Rifle,4,3,FALSE
esea_match_13770997.dem,24,273778,38.50928,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AK47,Rifle,4,2,FALSE
esea_match_13770997.dem,24,274352,43.00391,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,Deagle,Pistol,3,2,FALSE
esea_match_13770997.dem,24,274460,43.84961,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AK47,Rifle,3,1,FALSE
esea_match_13770997.dem,24,275594,52.72925,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A1,Rifle,3,0,FALSE
esea_match_13770997.dem,25,279940,28.90918,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AK47,Rifle,5,4,FALSE
esea_match_13770997.dem,25,280570,33.84229,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,UMP,SMG,4,4,FALSE
esea_match_13770997.dem,25,281310,39.63672,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,CZ,Pistol,3,4,FALSE
esea_match_13770997.dem,25,281384,40.21606,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,3,3,FALSE
esea_match_13770997.dem,25,281590,41.8291,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,Swag7,Heavy,3,2,FALSE
esea_match_13770997.dem,25,281858,43.92773,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,Swag7,Heavy,3,1,FALSE
esea_match_13770997.dem,25,281992,44.97705,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,Swag7,Heavy,3,0,FALSE
